STULS,ESCS,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,gender,TEACHBEHA,SBHL,PV1READ
8,0.7208,0.4922,1.314,0.7198,0.5121,1.0346,-0.3644,-0.1687,0.1744,0.6912,0.6012,-0.6583,0.1956,-0.1015,0.4637,-0.9827,0.1869,-0.0614,-0.3022,-0.445,-0.7823,1,-2.0409,1,1
7,0.9395,2.0345,0.7628,-0.118,0.6398,-0.6576,0.0205,-1.4537,0.8874,-1.4753,0.9995,1.0844,1.2643,0.6291,1.4083,-1.3951,-0.5928,-0.8738,1.2329,0.2243,-0.7823,1,3.7879,1,1
4,1.1744,-0.0424,1.314,1.8202,2.0165,-1.1817,2.0871,2.0073,1.8245,0.027,1.6762,0.4667,-0.2047,-0.1982,-0.3799,0.8126,1.2386,-1.0352,1.2329,-0.3184,-0.7823,1,0.933,1,1
5,0.8849,2.0345,0.7015,0.7198,0.7743,-0.9122,0.4105,1.1853,0.1744,2.0378,-0.9391,1.0844,2.0054,-0.1015,-1.2319,-1.3539,-0.5928,2.3693,-1.8213,1.4903,-0.7823,2,1.8674,1,1
8,1.4307,0.7767,1.314,0.4861,-1.1311,1.0346,2.0871,2.0073,1.8245,0.6912,0.6012,0.0281,-0.0326,0.0273,1.3423,-0.3121,0.1869,-1.3094,1.008,-0.3086,-0.7823,1,1.6842,1,1
8,1.2741,0.6019,1.314,-0.1809,-0.99,1.0346,-0.0999,-0.0763,0.7222,0.9636,0.9995,0.0321,0.1956,-0.6545,0.3335,0.2621,-0.5928,-0.8113,0.2224,0.1008,0.2907,2,-0.3818,1,1
9,0.2634,1.1945,1.314,0.373,0.5121,1.0346,0.6521,0.1041,0.9684,2.0378,1.6762,1.0844,0.3709,0.0273,-0.0288,1.7411,0.4094,1.1262,0.4683,-0.046,-0.7823,2,-0.5582,1,1
7,1.0847,2.0345,0.6259,0.5467,2.0165,1.0346,2.0871,1.323,1.8245,0.2865,0.6012,1.0844,1.2643,1.1448,1.0671,-0.6723,0.7301,1.1497,0.5761,-0.2843,-0.7823,1,3.7879,1,1
6,0.4355,0.743,0.4394,1.8202,-0.3253,-0.6576,1.3517,1.1853,1.8245,-0.6142,-0.2119,-1.4024,0.1956,0.487,-0.4342,0.2621,0.7301,-0.8273,-0.6331,-0.3184,-0.7823,1,-2.0409,1,1
7,0.5576,1.3671,1.314,0.7198,-0.3253,1.0346,0.5102,-0.0791,0.1744,2.0378,0.6012,-0.6583,-0.2047,-0.1015,0.052,-0.6723,-0.3236,0.3858,-0.094,-0.3184,-0.7823,1,2.2703,1,1
